"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"SPE00120278","MADRID BARAJAS, SP","2023-01-01","0.00","62","39"
"SPE00120278","MADRID BARAJAS, SP","2023-01-02","0.00","55","47"
"SPE00120278","MADRID BARAJAS, SP","2023-01-03","0.00","58","37"
"SPE00120278","MADRID BARAJAS, SP","2023-01-04","0.00","57","31"
"SPE00120278","MADRID BARAJAS, SP","2023-01-05","0.00","57","30"
"SPE00120278","MADRID BARAJAS, SP","2023-01-06","0.00","53","29"
"SPE00120278","MADRID BARAJAS, SP","2023-01-07","0.22","43","30"
"SPE00120278","MADRID BARAJAS, SP","2023-01-08","0.17","58","43"
"SPE00120278","MADRID BARAJAS, SP","2023-01-09","0.00","56","36"
"SPE00120278","MADRID BARAJAS, SP","2023-01-10","0.00","52","31"
"SPE00120278","MADRID BARAJAS, SP","2023-01-11","0.00","49","36"
"SPE00120278","MADRID BARAJAS, SP","2023-01-12","0.00","54","30"
"SPE00120278","MADRID BARAJAS, SP","2023-01-13","0.00","54","36"
"SPE00120278","MADRID BARAJAS, SP","2023-01-14","0.00","54","30"
"SPE00120278","MADRID BARAJAS, SP","2023-01-15","0.00","55","37"
"SPE00120278","MADRID BARAJAS, SP","2023-01-16","0.00","52","38"
"SPE00120278","MADRID BARAJAS, SP","2023-01-17","0.01","53","40"
"SPE00120278","MADRID BARAJAS, SP","2023-01-18","0.00","46","33"
"SPE00120278","MADRID BARAJAS, SP","2023-01-19","0.00","49","32"
"SPE00120278","MADRID BARAJAS, SP","2023-01-20","0.00","59","42"
"SPE00120278","MADRID BARAJAS, SP","2023-01-21","0.00","51","33"
"SPE00120278","MADRID BARAJAS, SP","2023-01-22","0.00","48","31"
"SPE00120278","MADRID BARAJAS, SP","2023-01-23","0.00","50","29"
"SPE00120278","MADRID BARAJAS, SP","2023-01-24","0.00","44","28"
"SPE00120278","MADRID BARAJAS, SP","2023-01-25","0.00","53","30"
"SPE00120278","MADRID BARAJAS, SP","2023-01-26","0.00","51","34"
"SPE00120278","MADRID BARAJAS, SP","2023-01-27","0.00","48","27"
"SPE00120278","MADRID BARAJAS, SP","2023-01-28","0.00","52","26"
"SPE00120278","MADRID BARAJAS, SP","2023-01-29","0.00","47","23"
"SPE00120278","MADRID BARAJAS, SP","2023-01-30","0.00","51","24"
"SPE00120278","MADRID BARAJAS, SP","2023-01-31","0.00","56","22"
"SPE00120278","MADRID BARAJAS, SP","2023-02-01","0.00","59","27"
"SPE00120278","MADRID BARAJAS, SP","2023-02-02","0.00","60","27"
"SPE00120278","MADRID BARAJAS, SP","2023-02-03","0.00","63","26"
"SPE00120278","MADRID BARAJAS, SP","2023-02-04","0.00","68","26"
"SPE00120278","MADRID BARAJAS, SP","2023-02-05","0.00","68","29"
"SPE00120278","MADRID BARAJAS, SP","2023-02-06","0.00","54","28"
"SPE00120278","MADRID BARAJAS, SP","2023-02-07","0.03","51","28"
