"STATION","NAME","DATE","TMAX","TMIN"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-01","54","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-02","55","40"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-03","69","40"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-04","55","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-05","59","44"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-06","56","38"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-07","56","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-08","57","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-09","56","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-10","59","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-11","58","49"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-12","52","42"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-13","58","45"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-14","56","47"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-15","64","52"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-16","59","48"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-17","53","46"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-18","62","51"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-19","61","53"
"USW00023234","SAN FRANCISCO INTERNATIONAL AIRPORT, CA US","2000-01-20","57","49"
