latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
38.92549,-78.28257,301.55,1.04,1.02,2024-07-12,0226,T,42,6.1NRT,289.88,3.84,N
40.0442,-75.05412,307.67,1.07,1.03,2024-07-12,0226,T,72,6.1NRT,295.68,5.73,N
40.39424,-79.85208,311.54,1.11,1.05,2024-07-12,0226,T,83,6.1NRT,292.56,12.16,N
40.39217,-79.86474,304.11,1.11,1.05,2024-07-12,0226,T,59,6.1NRT,293.1,6.42,N
41.41861,-88.29103,300.39,2.96,1.64,2024-07-12,0226,T,26,6.1NRT,287.51,19.32,N
41.41053,-88.3245,301.39,2.97,1.64,2024-07-12,0226,T,41,6.1NRT,288.01,22.24,N
42.93703,-81.13071,325.07,1.14,1.07,2024-07-12,0226,T,100,6.1NRT,290.15,28.56,N
42.93473,-81.14426,304.66,1.14,1.07,2024-07-12,0226,T,61,6.1NRT,289.38,7.76,N
42.9463,-81.13366,300.62,1.14,1.07,2024-07-12,0226,T,31,6.1NRT,289.13,4.87,N
46.57993,-80.7956,313.39,1.03,1.01,2024-07-12,0228,T,87,6.1NRT,291.43,13.3,N
47.80071,-80.08493,318.32,1,1,2024-07-12,0228,T,97,6.1NRT,288.05,17.27,N
17.83767,-93.11034,314.66,1.23,1.1,2024-07-12,0400,T,90,6.1NRT,293.13,14.52,N
17.83624,-93.12173,329.58,1.23,1.1,2024-07-12,0400,T,100,6.1NRT,293.55,35.31,N
17.84743,-93.11166,308.01,1.23,1.1,2024-07-12,0400,T,73,6.1NRT,293.07,7.93,N
17.84599,-93.12305,332.52,1.23,1.1,2024-07-12,0400,T,100,6.1NRT,293.65,40.91,N
17.8895,-93.19304,309.77,1.22,1.1,2024-07-12,0400,T,78,6.1NRT,293.67,9.63,N
17.90062,-93.18307,315.5,1.22,1.1,2024-07-12,0400,T,91,6.1NRT,293.93,14.81,N
18.09468,-94.04961,315.84,1.11,1.05,2024-07-12,0400,T,92,6.1NRT,284.72,16.42,N
22.65831,-97.67625,308.08,1.01,1,2024-07-12,0400,T,59,6.1NRT,292.16,4.91,N
22.65694,-97.6858,315.38,1.01,1,2024-07-12,0400,T,88,6.1NRT,292.22,10.44,N
34.30491,-96.09464,316.96,1.32,1.14,2024-07-12,0404,T,94,6.1NRT,295.93,19.53,N
34.315,-96.09621,335.62,1.32,1.14,2024-07-12,0404,T,100,6.1NRT,296.38,52.22,N
38.39782,-112.35516,306.24,3.35,1.73,2024-07-12,0404,T,46,6.1NRT,288.65,42.7,N
38.3956,-112.35868,307.66,3.35,1.73,2024-07-12,0404,T,72,6.1NRT,288.34,52.75,N
41.38324,-100.0047,306.05,1.08,1.04,2024-07-12,0404,T,67,6.1NRT,292.38,7,N
41.38173,-100.01724,311.49,1.08,1.04,2024-07-12,0404,T,83,6.1NRT,292.57,11.22,N
41.39084,-100.01929,305.55,1.08,1.04,2024-07-12,0404,T,65,6.1NRT,292.07,6.82,N
42.75462,-105.19292,310.76,1.1,1.04,2024-07-12,0406,T,81,6.1NRT,290.64,11.33,N
43.48214,-105.59212,303.02,1.11,1.05,2024-07-12,0406,T,53,6.1NRT,292.49,5.17,N
43.49123,-105.59514,329.95,1.11,1.05,2024-07-12,0406,T,100,6.1NRT,292.69,32.92,N
42.68177,-111.59854,316.18,2.28,1.46,2024-07-12,0406,T,93,6.1NRT,288.91,52.26,N
45.72249,-98.42702,302.52,1.39,1.17,2024-07-12,0406,T,50,6.1NRT,290.76,9.4,N
43.14857,-116.05749,354.79,3.92,1.84,2024-07-12,0406,T,100,6.1NRT,299.23,515.33,N
43.13661,-116.10243,311.47,3.95,1.85,2024-07-12,0406,T,83,6.1NRT,295.89,60.63,N
43.16392,-116.06535,349.11,3.92,1.84,2024-07-12,0406,T,100,6.1NRT,299.78,418.86,N
43.15211,-116.10992,318.49,3.95,1.85,2024-07-12,0406,T,97,6.1NRT,296.57,97.9,N
