"STATION","NAME","DATE","TMAX","TMIN"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-01","58","45"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-02","61","44"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-03","67","42"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-04","69","44"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-05","71","42"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-06","69","41"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-07","65","45"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-08","65","39"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-09","65","42"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-10","65","48"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-11","63","49"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-12","65","52"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-13","78","47"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-14","80","52"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-15","74","57"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-16","64","58"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-17","66","58"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-18","77","59"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-19","74","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-20","71","57"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-21","65","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-22","63","53"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-23","66","51"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-24","73","56"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-25","63","56"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-26","68","50"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-27","68","47"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-28","71","45"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-29","66","44"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-30","59","52"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-01-31","64","52"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-01","77","49"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-02","80","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-03","75","51"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-04","65","53"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-05","67","53"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-06","75","49"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-07","78","51"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-08","71","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-09","65","52"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-10","60","51"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-11","62","48"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-12","62","53"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-13","58","53"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-14","66","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-15","65","54"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-16","56","47"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-17","62","44"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-18","72","47"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-19","77","51"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-20","62","50"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-21","55","47"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-22","59","50"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-23","56","47"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-24","60","41"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-25","61","48"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-26","67","47"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-27","56","49"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-28","64","44"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-02-29","63","48"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-01","65","48"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-02","70","46"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-03","62","50"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-04","57","49"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-05","56","45"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-06","58","44"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-07","58","43"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-08","60","49"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-09","62","46"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-10","72","46"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-11","80","52"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-12","75","50"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-13","68","55"
"USW00093134","LOS ANGELES DOWNTOWN USC, CA US","2000-03-14","74","49"
