"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"SPE00120278","MADRID BARAJAS, SP","2023-01-01","0.1",,"8.8","16.4","3.9"
"SPE00120278","MADRID BARAJAS, SP","2023-01-02","0.0",,"10.4","12.9","8.4"
"SPE00120278","MADRID BARAJAS, SP","2023-01-03","0.0",,"7.8","14.2","2.6"
"SPE00120278","MADRID BARAJAS, SP","2023-01-04","0.0",,"4.9","14.0","-0.8"
"SPE00120278","MADRID BARAJAS, SP","2023-01-05","0.0",,"4.8","14.0","-1.0"
"SPE00120278","MADRID BARAJAS, SP","2023-01-06","0.0",,"4.2","11.8","-1.7"
"SPE00120278","MADRID BARAJAS, SP","2023-01-07","5.7",,"3.6","6.3","-0.9"
"SPE00120278","MADRID BARAJAS, SP","2023-01-08","4.2",,"11.4","14.5","6.2"
"SPE00120278","MADRID BARAJAS, SP","2023-01-09","0.0",,"10.7","13.6","2.5"
"SPE00120278","MADRID BARAJAS, SP","2023-01-10","0.0",,"5.4","11.2","-0.5"
"SPE00120278","MADRID BARAJAS, SP","2023-01-11","0.0",,"7.4","9.5","2.4"
"SPE00120278","MADRID BARAJAS, SP","2023-01-12","0.0",,"4.8","12.4","-1.0"
"SPE00120278","MADRID BARAJAS, SP","2023-01-13","0.0",,"6.0","12.4","2.0"
"SPE00120278","MADRID BARAJAS, SP","2023-01-14","0.0",,"4.9","12.2","-0.9"
"SPE00120278","MADRID BARAJAS, SP","2023-01-15","0.0",,"6.6","12.6","2.7"
"SPE00120278","MADRID BARAJAS, SP","2023-01-16","0.1",,"7.7","10.9","3.5"
"SPE00120278","MADRID BARAJAS, SP","2023-01-17","0.2",,"9.1","11.5","4.3"
"SPE00120278","MADRID BARAJAS, SP","2023-01-18","0.0",,"4.4","7.8","0.6"
"SPE00120278","MADRID BARAJAS, SP","2023-01-19","0.0",,"5.3","9.4","-0.2"
"SPE00120278","MADRID BARAJAS, SP","2023-01-20","0.1",,"9.6","15.1","5.4"
"SPE00120278","MADRID BARAJAS, SP","2023-01-21","0.0",,"5.8","10.6","0.8"
"SPE00120278","MADRID BARAJAS, SP","2023-01-22","0.0",,"3.6","9.0","-0.8"
